Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners
Jaguar XF,https://www.autotrader.co.uk/car-details/202402016130112?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&fromsra,Finance available,18495.0,3.0d V6 S Auto Euro 6 (s/s) 4dr,PAN ROOF/SPACE SAVER SPARE,2016.0,Saloon,,3.0L,296BHP,Automatic,Diesel,
,https://www.autotrader.co.uk/cars/leasing/product/202307059333977?leaseOption=12_48_8000&advertising-location=at_cars&make=Jaguar&page=4&postcode=WR3%207AE&sort=relevance&fromsra,Lease deal,484.0,2.0 P250i R-Dynamic HSE Black Auto Euro 6 (s/s) 4dr,Subject to status and conditions.,,Unknown,,Unknown,Unknown,,Unknown,
Jaguar I-PACE,https://www.autotrader.co.uk/car-details/202401316068680?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Finance available,51500.0,400 90kWh R-Dynamic HSE Black Auto 4WD 5dr,"20"" BLACK ALLOYS - BLACK PACK",2023.0,SUV,,395BHP,Automatic,Electric,1 owner,
Jaguar XF,https://www.autotrader.co.uk/car-details/202312225020196?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,6695.0,2.2d Premium Luxury Auto Euro 5 (s/s) 4dr,12 Month Warranty!! 2 Keys!,2014.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202301042958588?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,1150.0,2.7d V6 Premium Luxury Auto Euro 4 4dr,Spares or Repairs,2008.0,Saloon,,2.7L,207PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202401105437862?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,2495.0,2.5 V6 Sport Premium (AWD) 4dr,"ULEZ, SENSORS, LEATHER, ALLOYS",2005.0,Saloon,,2.5L,194BHP,Automatic,Petrol,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202401085364158?sort=relevance&twcs=true&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,1499.0,2.0D Classic 4dr,*PART EXCHANGE TO CLEAR*,2006.0,Saloon,,2.0L,130BHP,Manual,Diesel,
Jaguar XJ,https://www.autotrader.co.uk/car-details/202403067262595?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,7991.0,3.0 XJ6 Sovereign 4dr,+ IVORY LEATHER + MUST SEE +,2004.0,Saloon,,3.0L,240BHP,Automatic,Petrol,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402297062364?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,4490.0,3.0 V6 Sovereign (AWD) 4dr,LOW MILEAGE GOOD HISTORY,2006.0,Saloon,,3.0L,230BHP,Automatic,Petrol,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402277009301?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,1389.0,2.0D SE 4dr,SAT NAV-HEATED-LEATHE-LONG-MOT,2006.0,Saloon,,2.0L,128BHP,Manual,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402216789157?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,1288.0,3.0 V6 SE (AWD) 4dr,2 KEEPER NAV 3M WARRANTY,2005.0,Saloon,,3.0L,231BHP,Manual,Petrol,
Jaguar XE,https://www.autotrader.co.uk/car-details/202311083752286?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Finance available,3399.0,2.0d Prestige Euro 6 (s/s) 4dr,Unknown,2015.0,Saloon,,2.0L,163PS,Manual,Diesel,1.0
Jaguar XF,https://www.autotrader.co.uk/car-details/202310203169300?sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,3495.0,3.0d V6 Luxury Auto Euro 5 4dr,** LOW MILES **,2009.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202401285993639?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Unknown,37995.0,5.0 V8 SVR Quickshift AWD Euro 6 (s/s) 5dr,"Clean Example, P/X Available.",2019.0,SUV,,5.0L,550PS,Automatic,Petrol,
Jaguar E-PACE,https://www.autotrader.co.uk/car-details/202401255896980?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&fromsra,Finance available,35900.0,2.0 D204 MHEV R-Dynamic HSE Auto AWD Euro 6 (s/s) 5dr,"HEATED STEERING WHEEL, PRIVACY",2022.0,SUV,,2.0L,201BHP,Automatic,Diesel,1.0
,https://www.autotrader.co.uk/cars/leasing/product/202311234218605?leaseOption=12_48_5000&advertising-location=at_cars&make=Jaguar&page=5&postcode=WR3%207AE&sort=relevance&fromsra,Lease deal,501.0,2.0 D200 MHEV R-Dynamic S Auto Euro 6 (s/s) 4dr,Subject to status and conditions.,,Unknown,,Unknown,Unknown,,Unknown,
Jaguar XE,https://www.autotrader.co.uk/car-details/202401095392929?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Finance available,11820.0,2.0d SE Auto Euro 6 (s/s) 4dr,PRIV | CRUISE | REAR CAMERA,2015.0,Saloon,,2.0L,161BHP,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202308241136305?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,4250.0,2.2d Luxury Auto Euro 5 (s/s) 4dr,FRESH SERVICE MOT&WARRANTY,2013.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402026163168?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Finance available,8595.0,2.2d Premium Luxury Auto Euro 5 (s/s) 4dr,CAM-BELT REPLACED @ 41K.,2013.0,Saloon,,2.2L,200PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202402096422831?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,4995.0,2.2D DPF SE 4dr,FSH/LOW MILEAGE/STUNNING CAR,2008.0,Saloon,,2.2L,143BHP,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202402226847935?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,3295.0,2.2d Sport Auto Euro 5 (s/s) 4dr,STUNNING-LOW TAX-GREAT VALUE,2012.0,Saloon,,2.2L,190PS,Automatic,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202311204138801?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Private seller,2250.0,3.0d V6 Premium Luxury Auto Euro 5 4dr,Excellent Runner,2010.0,Saloon,,3.0L,240PS,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202401275965267?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,1490.0,2.2D SE 4dr,**JUST ARRIVED IN PX**,2006.0,Saloon,,2.2L,152BHP,Manual,Diesel,
Jaguar XF,https://www.autotrader.co.uk/car-details/202401285990538?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,3495.0,2.2d Luxury Auto Euro 5 (s/s) 4dr,GREAT SPEC,2012.0,Saloon,,2.2L,190PS,Automatic,Diesel,
Jaguar XJ,https://www.autotrader.co.uk/car-details/202401075329513?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Private seller,4500.0,2.7 TD Sport Premium 4dr,"Immaculate, Service History.",2007.0,Saloon,,2.7L,204BHP,Automatic,Diesel,
Jaguar X-Type,https://www.autotrader.co.uk/car-details/202403037167687?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Unknown,1200.0,2.0D S 4dr,Full service history,2007.0,Saloon,,2.0L,128BHP,Manual,Diesel,
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202403067273946?sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Finance available,14195.0,2.0 D180 Portfolio Auto Euro 6 (s/s) 5dr,"£4,350 OF OPTIONAL EXTRAS",2017.0,SUV,,2.0L,180PS,Automatic,Diesel,
Jaguar F-PACE,https://www.autotrader.co.uk/car-details/202402146575755?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Jaguar&page=6&postcode=WR3%207AE&fromsra,Finance available,25999.0,2.0 P250i R-Sport Auto AWD Euro 6 (s/s) 5dr,PAN ROOF  | 1 OWNER,2020.0,SUV,,2.0L,250PS,Automatic,Petrol,1.0
